# load the base data ../data/netflix/netflix_base.fvecs, 
# load the queries ../data/netflix/netflix_query.fvecs, 
# load the ground truth ../data/netflix/1_netflix_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : [Subspace PQ, M: 7, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 7, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 7, 0 -> 43
#    Training the subspace: 1 / 7, 43 -> 86
#    Training the subspace: 2 / 7, 86 -> 129
#    Training the subspace: 3 / 7, 129 -> 172
#    Training the subspace: 4 / 7, 172 -> 215
#    Training the subspace: 5 / 7, 215 -> 258
#    Training the subspace: 6 / 7, 258 -> 300
# layer: 0,  residual average norm : 0.0894177258014679 max norm: 0.42418283224105835 min norm: 0.03593158721923828
# layer: 0,  residual average norm : 0.0894177258014679 max norm: 0.42418286204338074 min norm: 0.03593160957098007
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.442, 0.442, 0, 1
2, 0, 0.605, 0.3025, 0, 2
4, 0, 0.841, 0.21025, 0, 4
8, 0, 0.97, 0.12125, 0, 8
16, 0, 0.994, 0.062125, 0, 16
32, 0, 1.0, 0.03125, 0, 32
64, 0, 1.0, 0.015625, 0, 64
128, 0, 1.0, 0.0078125, 0, 128
256, 0, 1.0, 0.00390625, 0, 256
512, 0, 1.0, 0.001953125, 0, 512
1024, 0, 1.0, 0.0009765625, 0, 1024
2048, 0, 1.0, 0.00048828125, 0, 2048
4096, 0, 1.0, 0.000244140625, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 5.627462014631401e-05, 0, 17770
